,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO
20,36005281,2022 Oct,2022 Aug 25,Am J Sports Med,"['Glasbrenner J', 'Raschke MJ', 'Kittl C', 'Herbst E', 'Peez C', 'Briese T', 'Michel PA', 'Herbort M', 'Kösters C', 'Schliemann B']",Schliemann B,Comparable Instrumented Knee Joint Laxity and Patient-Reported Outcomes After ACL Repair With Dynamic Intraligamentary Stabilization or ACL Reconstruction: 5-Year Results of a Randomized Controlled Trial.,50,12,3256-3264,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['36005281', 'PMC9527444', 'pmc-id: PMC9527444;', '10.1177/03635465221117777']",10.1177/03635465221117777,"['2022/08/26 06:00', '2022/10/04 06:00', '2022/08/25 07:52', '2022/10/03 00:00']","['Am J Sports Med. 2023 Mar;51(3):NP11-NP12. doi: 10.1177/03635465221144033. PMID: 36856283', 'Am J Sports Med. 2023 Mar;51(3):NP12-NP14. doi: 10.1177/03635465221144035. PMID: 36856284']",1,48,The American journal of sports medicine,doi: 10.1177/03635465221117777,2022 Oct;50(12):3256-3264
21,35811663,2022,2022 Jul 1,Dis Markers,"['Jin T', 'Li Y', 'Yang G', 'Liao X', 'Wang G', 'Wang F']",Wang F,Comparison of Rapid Rehabilitation after Anterior Cruciate Ligament Reconstruction with Tensioning Technique and Traditional Rehabilitation.,2022,,6779207,['English'],8604127,0278-0240,1875-8630,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,,"['35811663', 'PMC9270112', 'pmc-id: PMC9270112;', '10.1155/2022/6779207']",10.1155/2022/6779207,"['2022/04/14 00:00', '2022/05/30 00:00', '2022/07/11 03:36', '2022/07/12 06:00', '2022/07/14 06:00', '2022/07/01 00:00']",[],1,25,Disease markers,doi: 10.1155/2022/6779207,2022;2022:6779207
22,35773666,2022 Jun 30,2022 Jun 30,BMC Surg,"['Metso L', 'Bister V', 'Sandelin J', 'Harilainen A']",Harilainen A,"A prospective comparison of 3 hamstring ACL fixation devices-rigidfix, bioscrew, and intrafix-randomized into 4 groups with a minimum follow-up of 5 years.",22,1,254,['English'],100968567,,1471-2482,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['35773666', 'PMC9248119', 'pmc-id: PMC9248119;', '10.1186/s12893-022-01685-x', '10.1186/s12893-022-01685-x']",10.1186/s12893-022-01685-x,"['2021/11/25 00:00', '2022/06/10 00:00', '2022/06/30 23:45', '2022/07/01 06:00', '2022/07/06 06:00', '2022/06/30 00:00']",[],1,20,BMC surgery,doi: 10.1186/s12893-022-01685-x,2022 Jun 30;22(1):254
23,35507037,2022 Nov,2022 May 4,Knee Surg Sports Traumatol Arthrosc,"['Beaudoin A', 'Ogborn D', 'McRae S', 'Larose G', 'Brown H', 'McCormack R', 'MacDonald P']",MacDonald P,No differences found in long-term outcomes of a randomized controlled trial comparing ipsilateral versus contralateral hamstring graft in ACL reconstruction.,30,11,3718-3725,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35507037', '10.1007/s00167-022-06980-x', '10.1007/s00167-022-06980-x']",10.1007/s00167-022-06980-x,"['2021/08/30 00:00', '2022/04/01 00:00', '2022/05/05 06:00', '2022/10/19 06:00', '2022/05/04 11:13']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-022-06980-x,2022 Nov;30(11):3718-3725
24,35250338,2022 Mar,2022 Feb 15,J Sports Sci Med,"['Labanca L', 'Rocchi JE', 'Giannini S', 'Faloni ER', 'Montanari G', 'Mariani PP', 'Macaluso A']",Macaluso A,Early Superimposed NMES Training is Effective to Improve Strength and Function Following ACL Reconstruction with Hamstring Graft regardless of Tendon Regeneration.,21,1,91-103,['English'],101174629,,1303-2968,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,,"['35250338', 'PMC8851110', 'pmc-id: PMC8851110;', '10.52082/jssm.2022.91']",10.52082/jssm.2022.91,"['2021/11/25 00:00', '2021/12/28 00:00', '2022/03/07 06:01', '2022/03/08 06:00', '2022/04/30 06:00', '2022/02/15 00:00']",[],1,47,Journal of sports science & medicine,doi: 10.52082/jssm.2022.91,2022 Mar;21(1):91-103
25,35114581,2022 Mar,2022 Jan 20,J Biomech,"['Zandiyeh P', 'Parola LR', 'Fleming BC', 'Beveridge JE']",Beveridge JE,Wavelet analysis reveals differential lower limb muscle activity patterns long after anterior cruciate ligament reconstruction.,133,,110957,['English'],0157375,0021-9290,1873-2380,"['Journal Article', 'Randomized Controlled Trial', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['35114581', 'NIHMS1775927', 'PMC8893161', 'pmc-id: PMC8893161;manuscript-id: NIHMS1775927;', '10.1016/j.jbiomech.2022.110957', 'S0021-9290(22)00016-1']",10.1016/j.jbiomech.2022.110957,"['2021/06/22 00:00', '2022/01/05 00:00', '2022/01/06 00:00', '2022/02/04 06:00', '2022/03/19 06:00', '2022/02/03 20:17', '2023/03/01 00:00']",[],1,49,Journal of biomechanics,doi: 10.1016/j.jbiomech.2022.110957,2022 Mar;133:110957
26,35075087,2022 Jan 19,2022 Jan 19,Acta Biomed,"['Labianca L', 'Andreozzi V', 'Princi G', 'Princi AA', 'Calderaro C', 'Guzzini M', 'Ferretti A']",Ferretti A,"The effectiveness of Kinesio Taping in improving pain and edema during early rehabilitation after Anterior Cruciate Ligament Reconstruction: A Prospective, Randomized, Control Study.",92,6,e2021336,['English'],101295064,0392-4203,2531-6745,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['35075087', 'PMC8823551', 'pmc-id: PMC8823551;', '10.23750/abm.v92i6.10875']",10.23750/abm.v92i6.10875,"['2020/10/29 00:00', '2021/01/30 00:00', '2022/01/25 05:48', '2022/01/26 06:00', '2022/01/28 06:00', '2021/01/01 00:00']",[],1,26,Acta bio-medica : Atenei Parmensis,doi: 10.23750/abm.v92i6.10875,2022 Jan 19;92(6):e2021336
27,33945339,2021 Jun,2021 May 4,Am J Sports Med,"['Marmura H', 'Getgood AMJ', 'Spindler KP', 'Kattan MW', 'Briskin I', 'Bryant DM']",Bryant DM,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction.,49,7,1777-1785,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33945339', '10.1177/03635465211010798']",10.1177/03635465211010798,"['2021/05/05 06:00', '2021/06/29 06:00', '2021/05/04 17:15']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465211010798,2021 Jun;49(7):1777-1785
28,33742222,2022 Feb,2021 Mar 19,Arch Orthop Trauma Surg,"['Horstmann H', 'Petri M', 'Tegtbur U', 'Felmet G', 'Krettek C', 'Jagodzinski M']",Jagodzinski M,"Quadriceps and hamstring tendon autografts in ACL reconstruction yield comparably good results in a prospective, randomized controlled trial.",142,2,281-289,['English'],9011043,0936-8051,1434-3916,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33742222', 'PMC8783919', 'pmc-id: PMC8783919;', '10.1007/s00402-021-03862-8', '10.1007/s00402-021-03862-8']",10.1007/s00402-021-03862-8,"['2020/11/01 00:00', '2021/03/08 00:00', '2021/03/21 06:00', '2022/01/27 06:00', '2021/03/20 06:43', '2021/03/19 00:00']",[],1,42,Archives of orthopaedic and trauma surgery,doi: 10.1007/s00402-021-03862-8,2022 Feb;142(2):281-289
29,33604735,2021 Aug,2021 Feb 18,Knee Surg Sports Traumatol Arthrosc,"['von Essen C', 'Hallgren A', 'Barenius B', 'Eriksson K']",Eriksson K,Utilizing a contralateral hamstring autograft facilitates earlier isokinetic and isometric strength recovery after anterior cruciate ligament reconstruction: a randomised controlled trial.,29,8,2684-2694,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33604735', 'PMC8298236', 'pmc-id: PMC8298236;', '10.1007/s00167-021-06491-1', '10.1007/s00167-021-06491-1']",10.1007/s00167-021-06491-1,"['2020/11/24 00:00', '2021/02/03 00:00', '2021/02/20 06:00', '2021/08/20 06:00', '2021/02/19 06:10', '2021/02/18 00:00']",[],1,34,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-021-06491-1,2021 Aug;29(8):2684-2694
